report_brand_name,clean_name,category,output_key
32red,32red,casino,
32Red-UK-Casino,32red,casino,
32Red-Casino-GB,32red,casino,
32Red-Casino-GB,32red slots,casino,uk1_google
32Red-Casino-GB,32red slots,casino,uk2_bing
32Red-Casino-GB,32red slots,casino,uk3_bing
888Ladies-Bingo-GB,888ladies,bingo,
thesunbingo,sunbingo,bingo,
DottyBingo-Bingo-GB,dotty,bingo,
dottybingo,dotty,bingo,
Betfred-UK-Casino,betfredcasino,casino,
Betfred-Casino-GB,betfredcasino,casino,
Betfred-UK-Casino,betfred,casino,uk1_google
Betfred-Casino-GB,betfred,casino,uk1_google
Betfred-Sportsbetting-GB,betfred sports,sport,
Boyle-UK-Casino,boylecasino,casino,
Boyle-Casino-GB,boylecasino,casino,
Boyle-UK-Casino,boyle sports,casino,sport_google
Boyle-UK-Casino,boyle sports,casino,sport_bing
Boyle-Casino-GB,boyle sports,casino,sport_google
Boyle-Casino-GB,boyle sports,casino,sport_bing
Boyle-Sportsbetting-GB,boyle sports,sport,
Casumo-UK-Casino,casumo,casino,
Casumo-Casino-GB,casumo,casino,
Coral-Casino-GB,coral,casino,
Coral-UK-Casino,coral,casino,
Coral-Sportsbetting-GB,coral,sport,
GrandIvy-Sportsbetting-GB,grandivy,sport,
Grosvenor-UK-Casino,grosvenor,casino,
Grosvenor-Casino-GB,grosvenor,casino,
Ladbrokes-UK-Casino,ladbrokes,casino,
Ladbrokes-Casino-GB,ladbrokes,casino,
Ladbrokes-Sportsbetting-GB,ladbrokes,sport,
LottoGo-UK-Casino,lottogo,casino,
LottoGo-Casino-GB,lottogo,casino,
LottoGo-Casino-GB,Lottogo,casino,uk1_google
LottoGo-Casino-GB,Lottogo,casino,uk2_bing
LottoGo-Casino-GB,Lottogo,casino,uk3_bing
Midnite-UK-Casino,midnite,casino,
Midnite-Casino-GB,midnite,casino,
Pub-UK-Casino,pub,casino,
SpreadEx-Sportsbetting-GB,spreadex sports,sport,
TheSunVegas-UK-Casino,thesunvegas,casino,
TheSunVegas-Casino-GB,thesunvegas,casino,
TheSunVegas-UK-Casino,sun vegas slots,casino,uk1_google
TheSunVegas-Casino-GB,sun vegas slots,casino,uk1_google
Unibet-UK-Casino,unibet,casino,
Unibet-Casino-GB,unibet,casino,
Mecca-Bingo-GB,mecca,bingo,
meccabingo,mecca,bingo,
WinkBingo-Bingo-GB,winkbingo,bingo,
DragonBet UK SportBetting,dragonbet,sport,
DragonBet UK Casino,dragonbet,casino,
BetMGM-Sportsbetting-GB,bet mgm,sport,
BetMGM-Casino-GB,bet mgm,casino,
BetMGM-Casino-GB,betmgm (1),casino,uk1_google
Betano-Sportsbetting-GB,betano,sport,
Lottomart-Casino-GB,lottomart,casino,
Choice Home Warranty-Home Warranty-US,choice hw,hw,
Choice Home Warranty-Home Warranty-US,choice,hw,hw_bing
Select Home Warranty-Home Warranty-US,select hw,hw,
Select Home Warranty-Home Warranty-US,select,hw,hw_bing
First American-Home Warranty-US,first american,hw,
First Premier Home Warranty-Home Warranty-US,first premier,hw,
HWA-Home Warranty-US,hwa,hw,
HSC-Home Warranty-US,hsc,hw,
AFC-Home Warranty-US,afc,hw,
American Dream-Auto Warranty-US,american dream,cw,
Premier Auto Protect-Auto Warranty-US,premier auto protect,cw,
Select Auto Protect-Auto Warranty-US,select auto protect,cw,
Chaiz-Auto Warranty-US,chaiz,cw,
Autopom-Auto Warranty-US,autopom,cw,
Choice HW-Auto Warranty-US,choice hw,cw,
Select HW-Auto Warranty-US,select hw,cw,
First American HW-Auto Warranty-US,first american hw,cw,
Carchex-Auto Warranty-US,carchex,cw,
Carshield-Auto Warranty-US,carshield,cw,
